AGV;Ancient Graveyard
BAL;Crashed Balloon
BAT;Bat Cave
BDC;Bodden Camp
BOL;Large Boulder
CLV;Collapsed Vault
DCN;Demon Condor Nest
DPT;Deep Pit
DRA;Dragon Geyser
DRM;Dream Location
FEX;Far Exotica
FFO;Far Forge
FIN;Far Inn
FOR;Fort
FPO;Far Post
FRL;Railway Station
FSQ;Town Square
FTR;Fort Ruins
FUN;Fungus Forest
FUV;Fuvah
GCV;Great Cave
GEY;Geyser
GQU;Great Quarry
GSS;Giant Silk Spider Web
GTS;Giant Tree Squid Nest
HCP;Hairy Coco Palm Grove
HIH;Hidey-hole
HIL;Hillock
JIB;Jossman Imperial Bank
KAB;Kabuki
KDN;Koma Den
KMT;Kongo-Mongo tree
KOM;King Ock Mushroom Grove
KPS;Kabuki Prayer Stone
LCV;Large Cave
LHC;Loggerhead Camp
LQU;Large Quarry
MIS;Mine Shaft
PON;Pond
QUI;Quicksand
RHL;Roach Hollow
RLB;Railway Bridge
RLW;Railway
SCV;Small Cave
SCY;Stone Crypt
SGV;Sunken Graveyard
SHR;Shroud
SOB;Shroud Obelisk
SOF;Shrine of Fuvah
SQU;Small Quarry
SUL;Survey Logpost
TAR;Tar Pit
TEM;Rebuilt Temple
THO;Tainted Hollow
TMR;Temple Ruins
TMU;Tomb of Mumundus
TOM;Tomb of Mumi
TOR;Tower Ruin
TOW;Tower
TRB;Troll Bridge
TRL;Trail
UGR;Underwater Grotto
VWK;Voodoo Workshop
VXG;Unusual Graveyard
VXT;Ruined Temple
WBH;Wanna Bee Hive
WHL;Waterhole
